country;iso_code;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;daily_vaccinations_raw;daily_vaccinations;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;daily_vaccinations_per_million;vaccines;source_name;source_website
Albania;ALB;10/01/2021;0.0;0.0;;;;0.0;0.0;;;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;11/01/2021;;;;;64.0;;;;22.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;12/01/2021;128.0;128.0;;;64.0;0.0;0.0;;22.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;13/01/2021;188.0;188.0;;60.0;63.0;0.01;0.01;;22.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;14/01/2021;266.0;266.0;;78.0;66.0;0.01;0.01;;23.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;15/01/2021;308.0;308.0;;42.0;62.0;0.01;0.01;;22.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;16/01/2021;369.0;369.0;;61.0;62.0;0.01;0.01;;22.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;17/01/2021;405.0;405.0;;36.0;58.0;0.01;0.01;;20.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;18/01/2021;447.0;447.0;;42.0;55.0;0.02;0.02;;19.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
Albania;ALB;19/01/2021;483.0;483.0;;36.0;51.0;0.02;0.02;;18.0;Pfizer/BioNTech;Ministry of Health;https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/
